Cluster;Position;Attr0;Attr1;Value
0;1;-1.0;-1.0;The student had to grasp and work on __.
0;1;-1.0;-1.0;The subject of the thesis was devoted to __.
0;1;-1.0;-1.0;The assignment involved __, including __.
0;1;-1.0;-1.0;The thesis is based on __.
0;1;-1.0;-1.0;The student researched for __.
0;1;-1.0;-1.0;The main goal of the thesis is to __.
0;1;-1.0;-1.0;The aim of the work is to __.
0;2;-1.0;-1.0;The assignment involved __ in order to succeed.
0;2;-1.0;-1.0;The student should get familiar with __.
1;1;-1.0;80.0;__ is a complex topic and it requires understanding of __.
1;1;-1.0;80.0;The task undertaken by the student in this thesis is a challenging one.
1;1;-1.0;70.0;The main challenge of this thesis is to __.
1;1;-1.0;70.0;The work involves examination and deep understanding of __, which makes the topic relatively complex.
1;1;-1.0;70.0;The thesis requires good knowledge in __.
1;2;-1.0;80.0;Several tasks had to be learned and solved by the student in a creative and pro-active approach.
1;2;-1.0;80.0;Considering __, it is a difficult task.
1;2;-1.0;75.0;At last, the student was challenged to __.
1;2;-1.0;75.0;__ utilizes many complex technologies and concepts and therefore represents a difficult subject.
1;2;-1.0;70.0;I think that there are certainly easier projects where __.
1;2;-1.0;70.0;__ is not an easy task.
1;2;-1.0;70.0;Considering __, this is a rather difficult assignment.
2;1;-1.0;85.0;The topic of this thesis involved several challenges.
2;1;-1.0;85.0;The student had to quickly learn about __.
2;1;-1.0;85.0;This assignment requires good analytical skills and ability to __.
2;2;-1.0;90.0;The complexity of this task is underscored by the relatively few overall attempts to do this, despite __.
3;1;-1.0;60.0;Some of __ could be regarded as challenging.
3;1;-1.0;50.0;Although the topic of the thesis is related to __, its difficulty does not pose an extremely challenging task.
3;2;-1.0;60.0;This makes the whole work a little bit more challenging.
3;2;-1.0;50.0;The topic rather shows __, and this is why I find the topic average in its difficulty.
4;1;80.0;-1.0;This topic is unusual in its type and novelty.
4;1;80.0;-1.0;The topic is interesting and followed.
4;1;90.0;-1.0;The problem addressed in this thesis is very relevant.
5;1;85.0;50.0;The work is very interesting though the difficulty is at a normal level.
6;1;30.0;-1.0;There already are available __, which allow to carry out the assignment.
6;1;30.0;-1.0;The topic of this thesis does not promise to bring anything new or original.
7;1;100.0;-1.0;The topic of this thesis is very original.
7;1;100.0;-1.0;The topic of this thesis concerns __, which I find original as it hasn't been approached much before.
